text : 39健康网首页	link : http://www.39.net/
text : 脱发	link : http://jbk.39.net/tf1/
text : 毛囊炎	link : http://jbk.39.net/mny/
text : 甲沟炎	link : http://jbk.39.net/jgy/
text : 黄褐斑	link : http://jbk.39.net/hhb/
text : 更多疾病>>	link : /bw/pifuke/
text : 性病科	link : /bw/xingbingke/
text : 尖锐湿疣	link : http://jbk.39.net/jrsy/
text : 梅毒	link : http://jbk.39.net/md/
text : 生殖器疱疹	link : http://jbk.39.net/szqpz/
text : 淋病	link : http://jbk.39.net/lb/
text : 生殖器念珠菌病	link : http://jbk.39.net/szqnzjb/
text : 软下疳	link : http://jbk.39.net/rxg/
text : 一期梅毒	link : http://jbk.39.net/yqmd/
text : 二期梅毒	link : http://jbk.39.net/eqmd/
text : 潜伏梅毒	link : http://jbk.39.net/qfmd/
text : 三期梅毒	link : http://jbk.39.net/sqmd/
text : 更多疾病>>	link : /bw/xingbingke/
text : 检查	link : /bw/pifuxingbing_t3/
text : 血清鳞状上皮细胞癌抗原	link : http://jbk.39.net/jiancha/lzspxbakyscc/
text : 醋酸白试验	link : http://jbk.39.net/jiancha/csbsy/
text : 皮肤划痕试验	link : http://jbk.39.net/jiancha/pfhhsy/
text : 皮肤真菌镜检	link : http://jbk.39.net/jiancha/pfzjjj/
text : 皮肤涂片显微镜检查	link : http://jbk.39.net/jiancha/pftpxwjjc/
text : 细菌学检验	link : http://jbk.39.net/jiancha/xjxjy/
text : 涂片	link : http://jbk.39.net/jiancha/tp/
text : 皮肤点刺试验	link : http://jbk.39.net/jiancha/pfdcsy/
text : 真菌检查	link : http://jbk.39.net/jiancha/zjjc/
text : 真菌感染的实验室检查	link : http://jbk.39.net/jiancha/zjgrdsysjc/
text : 更多检查>>	link : /bw/pifuxingbing_t3/
text : 手术	link : /bw/pifuxingbing_t4/
text : 磨皮术	link : http://jbk.39.net/shoushu/mps/
text : 甲沟炎切开引流术	link : http://jbk.39.net/shoushu/jgyqkyls/
text : 腋臭微创手术	link : http://jbk.39.net/shoushu/ycwcss/
text : 植发	link : http://jbk.39.net/shoushu/zfss/
text : 彩光脱毛	link : http://jbk.39.net/shoushu/cgtm/
text : 更多手术>>	link : /bw/pifuxingbing_t4/
text : 五官科	link : /bw/wuguanke/
text : 面瘫唇肿裂纹舌综合征	link : http://jbk.39.net/mtczlwszhz/
text : 小儿血管-骨肥大综合征	link : http://jbk.39.net/xexggfdzhz/
text : 更多疾病>>	link : /bw/wuguanke/
text : 眼科	link : /bw/yanke/
text : 麦粒肿	link : http://jbk.39.net/mlz/
text : 白内障	link : http://jbk.39.net/bnz/
text : 青光眼	link : http://jbk.39.net/qgy/
text : 红眼病	link : http://jbk.39.net/hyb/
text : 结膜炎	link : http://jbk.39.net/jmy3/
text : 玻璃体混浊	link : http://jbk.39.net/blthz/
text : 视网膜脱落	link : http://jbk.39.net/swmtl/
text : 弱视	link : http://jbk.39.net/rs/
text : 视网膜病变	link : http://jbk.39.net/swmbb/
text : 屈光不正	link : http://jbk.39.net/qgbz/
text : 更多疾病>>	link : /bw/yanke/
text : 耳鼻喉科	link : /bw/erbihouke/
text : 慢性咽炎	link : http://jbk.39.net/mxyy/
text : 鼻窦炎	link : http://jbk.39.net/bdy/
text : 过敏性鼻炎	link : http://jbk.39.net/gmxby/
text : 慢性鼻炎	link : http://jbk.39.net/mxby/
text : 鼻炎	link : http://jbk.39.net/by/
text : 分泌性中耳炎	link : http://jbk.39.net/fmxzey/
text : 急性扁桃体炎	link : http://jbk.39.net/jxbtty/
text : 鼻出血	link : http://jbk.39.net/bcx/
text : 鼻息肉	link : http://jbk.39.net/bxr/
text : 扁桃体炎	link : http://jbk.39.net/btty/
text : 更多疾病>>	link : /bw/erbihouke/
text : 口腔科	link : /bw/kouqiangke/
text : 口腔溃疡	link : http://jbk.39.net/kqky/
text : 口臭	link : http://jbk.39.net/kc1/
text : 牙周病	link : http://jbk.39.net/yzb/
text : 龋齿	link : http://jbk.39.net/qc/
text : 咽炎	link : http://jbk.39.net/yy3/
text : 智齿冠周炎	link : http://jbk.39.net/zcgzy/
text : 磨牙	link : http://jbk.39.net/my/
text : 牙周炎	link : http://jbk.39.net/dcxyzy/
text : 地图舌	link : http://jbk.39.net/dts/
text : 口腔扁平苔藓	link : http://jbk.39.net/kqbptx/
text : 更多疾病>>	link : /bw/kouqiangke/
text : 检查	link : /bw/wuguanke_t3/
text : 裂隙灯	link : http://jbk.39.net/jiancha/lxd/
text : 血清EB病毒抗体	link : http://jbk.39.net/jiancha/ebbdktebvab/
text : 马氏杆检查法	link : http://jbk.39.net/jiancha/msgjcf/
text : 儿童五官科检查	link : http://jbk.39.net/jiancha/etwgkjc/
text : 面容表情	link : http://jbk.39.net/jiancha/mrbq/
text : 泪液分泌型免疫球蛋白A	link : http://jbk.39.net/jiancha/lyfmxmyqdba/
text : 语调与语态	link : http://jbk.39.net/jiancha/ydyyt/
text : 发育与体型	link : http://jbk.39.net/jiancha/fyytx/
text : 泪液乳铁蛋白	link : http://jbk.39.net/jiancha/lyrtdb/
text : 产前的口腔检查	link : http://jbk.39.net/jiancha/cqdkqjc/
text : 更多检查>>	link : /bw/wuguanke_t3/
text : 手术	link : /bw/wuguanke_t4/
text : 翼管神经切除术	link : http://jbk.39.net/shoushu/ygsjss/
text : 植发	link : http://jbk.39.net/shoushu/zfss/
text : 蝶窦炎手术	link : http://jbk.39.net/shoushu/ddyss/
text : 更多手术>>	link : /bw/wuguanke_t4/
text : 肿瘤科	link : /bw/zhongliuke/
text : 胃癌	link : http://jbk.39.net/wa/
text : 宫颈癌	link : http://jbk.39.net/gja/
text : 直肠癌	link : http://jbk.39.net/zca/
text : 甲状腺癌	link : http://jbk.39.net/jzxa/
text : 结肠癌	link : http://jbk.39.net/jca/
text : 前列腺癌	link : http://jbk.39.net/qlxa/
text : 鼻咽癌	link : http://jbk.39.net/bya/
text : 子宫内膜癌	link : http://jbk.39.net/zgnma/
text : 原发性肝癌	link : http://jbk.39.net/yfxga/
text : 淋巴癌	link : http://jbk.39.net/lba/
text : 更多疾病>>	link : /bw/zhongliuke/
text : 检查	link : /bw/zhongliuke_t3/
text : MRI	link : http://jbk.39.net/jiancha/hcgzcxmri/
text : 肿瘤标志物	link : http://jbk.39.net/jiancha/zlbzwjc/
text : 腹部CT	link : http://jbk.39.net/jiancha/fbct/
text : 血清前列腺酸性磷酸酶	link : http://jbk.39.net/jiancha/qlxsxlsmpap/
text : 血清CA19-9	link : http://jbk.39.net/jiancha/aky199ca199/
text : 血清甲状腺球蛋白	link : http://jbk.39.net/jiancha/jzxqdb/
text : 颅脑CT	link : http://jbk.39.net/jiancha/lnctjc/
text : CT	link : http://jbk.39.net/jiancha/jsjtcsyctjc/
text : 血清CA15-3	link : http://jbk.39.net/jiancha/aky153ca153/
text : 血清鳞状上皮细胞癌抗原	link : http://jbk.39.net/jiancha/lzspxbakyscc/
text : 更多检查>>	link : /bw/zhongliuke_t3/
text : 手术	link : /bw/zhongliuke_t4/
text : 淋巴结清扫术	link : http://jbk.39.net/shoushu/lbjqss/
text : 毛细血管瘤和海绵状血管瘤切除术	link : http://jbk.39.net/shoushu/mxxglhhmzxglqcs/
text : 更多手术>>	link : /bw/zhongliuke_t4/
text : 传染科	link : /bw/chuanranke/
text : 乙肝	link : http://jbk.39.net/yg/
text : 艾滋病	link : http://jbk.39.net/azb/
text : 肺结核	link : http://jbk.39.net/fjh/
text : 水痘	link : http://jbk.39.net/sd/
text : 支原体感染	link : http://jbk.39.net/zytgr/
text : 猪流感	link : http://jbk.39.net/jxh1n1lg/
text : 阴虱病	link : http://jbk.39.net/ysb1/
text : 麻疹	link : http://jbk.39.net/mz/
text : 流感	link : http://jbk.39.net/lhxgm/
text : 狂犬病	link : http://jbk.39.net/kqb/
text : 更多疾病>>	link : /bw/chuanranke/
text : 检查	link : /bw/chuanranke_t3/
text : 血清谷草转氨酶	link : http://jbk.39.net/jiancha/mdasajzymast/
text : 血清单纯疱疹病毒抗体	link : http://jbk.39.net/jiancha/dcpzbdkt/
text : 乙肝两对半	link : http://jbk.39.net/jiancha/ygldb/
text : 血清乙肝表面抗体	link : http://jbk.39.net/jiancha/yxgybdbmkthbsab/
text : 过敏原检测	link : http://jbk.39.net/jiancha/gmysx/
text : 血清免疫球蛋白A	link : http://jbk.39.net/jiancha/xqmyqdbaiga/
text : 梅毒血清试验	link : http://jbk.39.net/jiancha/mdxqsy/
text : 不加热血清反应素实验	link : http://jbk.39.net/jiancha/bjrxqfyssy/
text : 血清梅毒螺旋体抗体	link : http://jbk.39.net/jiancha/mdlxtkt/
text : 非梅毒螺旋体抗原血清试验	link : http://jbk.39.net/jiancha/fmdlxtkyxqsy/
text : 更多检查>>	link : /bw/chuanranke_t3/
text : 精神科	link : /bw/jingshenxinlike/
text : 儿童期精神障碍及精神发育迟缓	link : http://jbk.39.net/etqjszajjsfych/
text : 拔毛狂	link : http://jbk.39.net/bmk/
text : 性兴奋障碍	link : http://jbk.39.net/xxfza/
text : 遗忘综合征	link : http://jbk.39.net/ywzhz/
text : 恐缩症	link : http://jbk.39.net/ksz/
text : 神经性厌食症与神经性贪食症	link : http://jbk.39.net/sjxyszysjxtsz/
text : 疾病恐怖	link : http://jbk.39.net/jbkb/
text : 反复发作抑郁症	link : http://jbk.39.net/fffzyyz/
text : 寄生虫妄想	link : http://jbk.39.net/jscwx/
text : 臭汗恐惧症	link : http://jbk.39.net/chkjz/
text : 更多疾病>>	link : /bw/jingshenxinlike/
text : 精神病科	link : /bw/jingshenbingke/
text : 失眠症	link : http://jbk.39.net/smz/
text : 精神分裂症	link : http://jbk.39.net/jsflz/
text : 焦虑症	link : http://jbk.39.net/jlz/
text : 强迫症	link : http://jbk.39.net/qpz/
text : 神经官能症	link : http://jbk.39.net/sjz/
text : 人格障碍	link : http://jbk.39.net/rgza/
text : 躁狂症	link : http://jbk.39.net/zkz/
text : 老年期抑郁障碍	link : http://jbk.39.net/lnqyyza/
text : 抑郁性神经症	link : http://jbk.39.net/yyxsjz/
text : 老年期抑郁症	link : http://jbk.39.net/lnqyyz/
text : 更多疾病>>	link : /bw/jingshenbingke/
text : 心理咨询	link : /bw/xinlizixun/
text : 癔症	link : http://jbk.39.net/yz/
text : 性变态	link : http://jbk.39.net/xbt/
text : 男性更年期综合症	link : http://jbk.39.net/nxgnqzhz/
text : 性高潮障碍	link : http://jbk.39.net/xgcza/
text : 恋物癖	link : http://jbk.39.net/lwp/
text : 恐惧症	link : http://jbk.39.net/kbxjlza/
text : 恐艾症	link : http://jbk.39.net/kaz/
text : 网瘾	link : http://jbk.39.net/wy/
text : 拖延症	link : http://jbk.39.net/tyz/
text : 斯德哥尔摩综合症	link : http://jbk.39.net/stgemzhz/
text : 更多疾病>>	link : /bw/xinlizixun/
text : 检查	link : /bw/jingshenxinlike_t3/
text : 智商测试	link : http://jbk.39.net/jiancha/zscs/
text : 心理年龄测试	link : http://jbk.39.net/jiancha/xlnlcs/
text : 身体器官功能与营养	link : http://jbk.39.net/jiancha/stqggnyyy/
text : 微量元素	link : http://jbk.39.net/jiancha/rtndwlysjc/
text : 疲劳自测测试	link : http://jbk.39.net/jiancha/plzccs/
text : 国际标准智力测试	link : http://jbk.39.net/jiancha/gjbzzlcs/
text : 姿势与步态	link : http://jbk.39.net/jiancha/zsybt/
text : Chvostek征	link : http://jbk.39.net/jiancha/chvostekz/
text : 语调与语态	link : http://jbk.39.net/jiancha/ydyyt/
text : 微量元素中毒检测	link : http://jbk.39.net/jiancha/wlyszdjc/
text : 更多检查>>	link : /bw/jingshenxinlike_t3/
text : 头部	link : /bw/toubu/
text : 颈部	link : /bw/jingbu/
text : 胸部	link : /bw/xiongbu/
text : 腹部	link : /bw/fubu/
text : 腰部	link : /bw/yaobu/
text : 男性生殖	link : /bw/nanxingshengzhi/
text : 女性生殖	link : /bw/nvxingshengzhi/
text : 全身	link : /bw/quanshen/
text : 上肢	link : /bw/shangzhi/
text : 下肢	link : /bw/xiazhi/
text : 盆腔	link : /bw/penqiang/
text : 臀部	link : /bw/tunbu/
text : 骨	link : /bw/gu/
text : 颅脑	link : /bw/lunao/
text : 偏头痛	link : http://jbk.39.net/ptt/
text : 脑出血	link : http://jbk.39.net/ncx/
text : 帕金森	link : http://jbk.39.net/pjs/
text : 老年痴呆症	link : http://jbk.39.net/aechmb/
text : 脑梗死	link : http://jbk.39.net/ngs1/
text : 脑动脉硬化症	link : http://jbk.39.net/ndmyhz/
text : 脑干出血	link : http://jbk.39.net/zhengzhuang/ngcx/
text : 脑缺氧	link : http://jbk.39.net/zhengzhuang/nqy/
text : 脑白质脱髓鞘	link : http://jbk.39.net/zhengzhuang/nbztsq/
text : 脑干梗塞	link : http://jbk.39.net/zhengzhuang/nggs/
text : 更多疾病>>	link : /bw/lunao/
text : 眼	link : /bw/yan/
text : 麦粒肿	link : http://jbk.39.net/mlz/
text : 白内障	link : http://jbk.39.net/bnz/
text : 青光眼	link : http://jbk.39.net/qgy/
text : 红眼病	link : http://jbk.39.net/hyb/
text : 结膜炎	link : http://jbk.39.net/jmy3/
text : 玻璃体混浊	link : http://jbk.39.net/blthz/
text : 眼睑浮肿	link : http://jbk.39.net/zhengzhuang/yjfz/
text : 眼皮跳	link : http://jbk.39.net/zhengzhuang/ypt/
text : 眼睛发红	link : http://jbk.39.net/zhengzhuang/yjfh/
text : 眼屎多	link : http://jbk.39.net/zhengzhuang/ysd/
text : 更多疾病>>	link : /bw/yan/
text : 鼻	link : /bw/bi/
text : 鼻窦炎	link : http://jbk.39.net/bdy/
text : 过敏性鼻炎	link : http://jbk.39.net/gmxby/
text : 慢性鼻炎	link : http://jbk.39.net/mxby/
text : 鼻咽癌	link : http://jbk.39.net/bya/
text : 流感	link : http://jbk.39.net/lhxgm/
text : 鼻炎	link : http://jbk.39.net/by/
text : 鼻塞	link : http://jbk.39.net/zhengzhuang/bs/
text : 流鼻血	link : http://jbk.39.net/zhengzhuang/lbx/
text : 流黄鼻涕	link : http://jbk.39.net/zhengzhuang/lhbt/
text : 流鼻涕	link : http://jbk.39.net/zhengzhuang/lbt/
text : 更多疾病>>	link : /bw/bi/
text : 耳	link : /bw/er/
text : 分泌性中耳炎	link : http://jbk.39.net/fmxzey/
text : 耳聋	link : http://jbk.39.net/el1/
text : 突发性耳聋	link : http://jbk.39.net/tfxel/
text : 外耳道炎	link : http://jbk.39.net/wedy/
text : 耳膜穿孔	link : http://jbk.39.net/gmck/
text : 老年性耳聋	link : http://jbk.39.net/lnxel/
text : 耳后淋巴结肿大	link : http://jbk.39.net/zhengzhuang/ehlbjzd/
text : 神经性耳聋	link : http://jbk.39.net/zhengzhuang/sjxel/
text : 神经性耳鸣	link : http://jbk.39.net/zhengzhuang/sjxem/
text : 耳痛	link : http://jbk.39.net/zhengzhuang/et/
text : 更多疾病>>	link : /bw/er/
text : 面部	link : /bw/mianbu/
text : 面瘫	link : http://jbk.39.net/mt/
text : 腮腺炎	link : http://jbk.39.net/sxy/
text : 面肌痉挛	link : http://jbk.39.net/mjjl/
text : 眶上神经痛	link : http://jbk.39.net/kssjt/
text : 腮腺恶性肿瘤	link : http://jbk.39.net/sxexzl/
text : 皮脂腺腺瘤	link : http://jbk.39.net/pzxxl/
text : 脸上长斑	link : http://jbk.39.net/zhengzhuang/lszb/
text : 脸色发黄	link : http://jbk.39.net/zhengzhuang/lsfh/
text : 脸色发黑	link : http://jbk.39.net/zhengzhuang/lsfh1/
text : 面部浮肿	link : http://jbk.39.net/zhengzhuang/mbfz/
text : 更多疾病>>	link : /bw/mianbu/
text : 口	link : /bw/kou/
text : 口腔溃疡	link : http://jbk.39.net/kqky/
text : 口臭	link : http://jbk.39.net/kc1/
text : 牙周病	link : http://jbk.39.net/yzb/
text : 鹅口疮	link : http://jbk.39.net/ekc/
text : 龋齿	link : http://jbk.39.net/qc/
text : 口腔癌	link : http://jbk.39.net/kqa/
text : 牙龈出血	link : http://jbk.39.net/zhengzhuang/yycx/
text : 口干舌燥	link : http://jbk.39.net/zhengzhuang/kgsz/
text : 牙疼	link : http://jbk.39.net/zhengzhuang/yt/
text : 口吐白沫	link : http://jbk.39.net/zhengzhuang/ktbm/
text : 更多疾病>>	link : /bw/kou/
text : 咽喉	link : /bw/yanhou/
text : 慢性咽炎	link : http://jbk.39.net/mxyy/
text : 喉癌	link : http://jbk.39.net/ha/
text : 风疹	link : http://jbk.39.net/fz1/
text : 急性扁桃体炎	link : http://jbk.39.net/jxbtty/
text : 咽炎	link : http://jbk.39.net/yy3/
text : 扁桃体炎	link : http://jbk.39.net/btty/
text : 咽喉炎	link : http://jbk.39.net/zhengzhuang/yhy/
text : 扁桃体发炎	link : http://jbk.39.net/zhengzhuang/bttfy/
text : 干咳	link : http://jbk.39.net/zhengzhuang/gk/
text : 咳痰	link : http://jbk.39.net/zhengzhuang/kt/
text : 更多疾病>>	link : /bw/yanhou/
text : 检查	link : /bw/toubu_t3/
text : 头发的牵拉检查	link : http://jbk.39.net/jiancha/tfdqljc/
text : 椎间孔挤压试验	link : http://jbk.39.net/jiancha/zjkjysy/
text : 头颅平片	link : http://jbk.39.net/jiancha/tlpp/
text : 儿童五官科检查	link : http://jbk.39.net/jiancha/etwgkjc/
text : 疲劳自测测试	link : http://jbk.39.net/jiancha/plzccs/
text : 头颅大小	link : http://jbk.39.net/jiancha/tldx/
text : 头颅形状	link : http://jbk.39.net/jiancha/tlxz/
text : 头面部触诊	link : http://jbk.39.net/jiancha/tmbcz/
text : Chvostek征	link : http://jbk.39.net/jiancha/chvostekz/
text : 拉斯特征	link : http://jbk.39.net/jiancha/lstz/
text : 更多检查>>	link : /bw/toubu_t3/
text : 手术	link : /bw/toubu_t4/
text : 玻尿酸丰唇术	link : http://jbk.39.net/shoushu/bnsfcs/
text : 牙齿矫正	link : http://jbk.39.net/shoushu/ycjz/
text : 烤瓷牙	link : http://jbk.39.net/shoushu/kcy/
text : 双眼皮手术	link : http://jbk.39.net/shoushu/cjs/
text : 隆鼻术	link : http://jbk.39.net/shoushu/lb/
text : 植发	link : http://jbk.39.net/shoushu/zfss/
text : 点痣	link : http://jbk.39.net/shoushu/dz/
text : 自体脂肪丰下巴术	link : http://jbk.39.net/shoushu/ztzffxb/
text : 小切口除皱术	link : http://jbk.39.net/shoushu/xqkcz/
text : 蝶窦炎手术	link : http://jbk.39.net/shoushu/ddyss/
text : 更多手术>>	link : /bw/toubu_t4/
text : 甲状腺	link : /bw/jiazhuangxian/
text : 甲亢	link : http://jbk.39.net/jk/
text : 甲状腺癌	link : http://jbk.39.net/jzxa/
text : 甲减	link : http://jbk.39.net/jzxgnjt/
text : 甲状腺瘤	link : http://jbk.39.net/jzxxl/
text : 亚急性甲状腺炎	link : http://jbk.39.net/yjxjzxy/
text : 甲状腺炎	link : http://jbk.39.net/jzxy/
text : 更多疾病>>	link : /bw/jiazhuangxian/
text : 气管	link : /bw/qiguan/
text : 支气管炎	link : http://jbk.39.net/zqgy/
text : 气管炎	link : http://jbk.39.net/qgy1/
text : 急性支气管炎	link : http://jbk.39.net/jxzqgy/
text : 气管肿瘤	link : http://jbk.39.net/qgzl/
text : 气管、支气管狭窄	link : http://jbk.39.net/qgzqgxz/
text : 气管食管瘘	link : http://jbk.39.net/qgsgl/
text : 更多疾病>>	link : /bw/qiguan/
text : 检查	link : /bw/jingbu_t3/
text : 颈部活动度	link : http://jbk.39.net/jiancha/jbhddjc/
text : 血清甲状旁腺激素	link : http://jbk.39.net/jiancha/jzpxjspth/
text : 颈椎CT	link : http://jbk.39.net/jiancha/jzctjc/
text : 颈项强直	link : http://jbk.39.net/jiancha/jxqz/
text : 血清降钙素	link : http://jbk.39.net/jiancha/jgs/
text : 甲状腺、甲状旁腺B超	link : http://jbk.39.net/jiancha/jzxjzpxdcsjc/
text : 颈部MRI	link : http://jbk.39.net/jiancha/jbmrijc/
text : 血清钙	link : http://jbk.39.net/jiancha/xqg/
text : 颈动脉搏动检查	link : http://jbk.39.net/jiancha/jdmbdjc/
text : 引颈试验	link : http://jbk.39.net/jiancha/yjsy/
text : 更多检查>>	link : /bw/jingbu_t3/
text : 手术	link : /bw/jingbu_t4/
text : 甲状舌骨囊肿切除术	link : http://jbk.39.net/shoushu/jzsgnzqc/
text : 颈部淋巴结切除术	link : http://jbk.39.net/shoushu/jblbjqcs/
text : 颈淋巴结清扫术	link : http://jbk.39.net/shoushu/jlbjqss/
text : 颈椎病前路减压术	link : http://jbk.39.net/shoushu/jzbqljys/
text : 全喉切除术	link : http://jbk.39.net/shoushu/qhqcs/
text : 半喉切除术	link : http://jbk.39.net/shoushu/bhqcs/
text : 肩关节脱位切开复位术	link : http://jbk.39.net/shoushu/jgjtwqkfws/
text : 颈动脉体瘤切除术	link : http://jbk.39.net/shoushu/jdmtlqcs/
text : 喉裂开术	link : http://jbk.39.net/shoushu/hlks/
text : 椎板融合术	link : http://jbk.39.net/shoushu/zbrhs/
text : 更多手术>>	link : /bw/jingbu_t4/
text : 乳房	link : /bw/rufang/
text : 乳腺增生	link : http://jbk.39.net/rxzs/
text : 乳头内陷	link : http://jbk.39.net/rtnx/
text : 乳房纤维瘤	link : http://jbk.39.net/rfxwl/
text : 急性乳腺炎	link : http://jbk.39.net/jxrxy/
text : 乳腺囊性增生症	link : http://jbk.39.net/rxnxzsz/
text : 乳腺炎	link : http://jbk.39.net/rxy/
text : 产后缺乳	link : http://jbk.39.net/zhengzhuang/chqr/
text : 产后少乳	link : http://jbk.39.net/zhengzhuang/chsr/
text : 更多疾病>>	link : /bw/rufang/
text : 肺	link : /bw/fei/
text : 肺结核	link : http://jbk.39.net/fjh/
text : 肺炎	link : http://jbk.39.net/fy/
text : 哮喘	link : http://jbk.39.net/xc/
text : 小儿肺炎	link : http://jbk.39.net/xefy/
text : 小儿急性支气管炎	link : http://jbk.39.net/xejxzqgy/
text : 支气管扩张	link : http://jbk.39.net/zqgkz/
text : 呼吸衰竭	link : http://jbk.39.net/zhengzhuang/hxsj/
text : 肺结核复发	link : http://jbk.39.net/zhengzhuang/fjhff/
text : 肺炎支原体阳性	link : http://jbk.39.net/zhengzhuang/fyzytyx/
text : 更多疾病>>	link : /bw/fei/
text : 心脏	link : /bw/xinzang/
text : 冠心病	link : http://jbk.39.net/gxb/
text : 心肌梗塞	link : http://jbk.39.net/xjgs/
text : 心绞痛	link : http://jbk.39.net/xjt/
text : 心肌炎	link : http://jbk.39.net/xjy/
text : 心脏病	link : http://jbk.39.net/xzb/
text : 窦性心动过速	link : http://jbk.39.net/dxxdgs/
text : 更多疾病>>	link : /bw/xinzang/
text : 食管	link : /bw/shiguan/
text : 食物中毒	link : http://jbk.39.net/swzd/
text : 食管炎	link : http://jbk.39.net/sgy/
text : 胃食管反流病	link : http://jbk.39.net/wsgflb/
text : 食管裂孔疝	link : http://jbk.39.net/sglks/
text : 巴来特(Barrett)食管	link : http://jbk.39.net/barrettsg/
text : 食管息肉	link : http://jbk.39.net/sgxr/
text : 更多疾病>>	link : /bw/shiguan/
text : 膈肌	link : /bw/geji/
text : 膈疝	link : http://jbk.39.net/gs1/
text : 膈肌麻痹	link : http://jbk.39.net/gjmb/
text : 膈肌肿瘤	link : http://jbk.39.net/gjzl/
text : 膈肌膨出	link : http://jbk.39.net/gjpc/
text : 创伤性膈疝	link : http://jbk.39.net/csxgs/
text : 新生儿先天性膈疝	link : http://jbk.39.net/xsextxgs/
text : 更多疾病>>	link : /bw/geji/
text : 纵膈	link : /bw/zongge/
text : 胸腺癌	link : http://jbk.39.net/xxa1/
text : 纵隔肿瘤	link : http://jbk.39.net/zgzl/
text : 纵隔气肿	link : http://jbk.39.net/zgqz/
text : 胸腺囊肿	link : http://jbk.39.net/xxnz1/
text : 结核性心包炎	link : http://jbk.39.net/jhxxby/
text : 纵隔囊肿	link : http://jbk.39.net/zggz4/
text : 更多疾病>>	link : /bw/zongge/
text : 检查	link : /bw/xiongbu_t3/
text : 胸部CT	link : http://jbk.39.net/jiancha/xbctjc/
text : 胸腔积液微生物学检查	link : http://jbk.39.net/jiancha/xqjywswxjc/
text : 胸透	link : http://jbk.39.net/jiancha/xbts/
text : 胸部平片	link : http://jbk.39.net/jiancha/xbpp/
text : 血清EB病毒抗体	link : http://jbk.39.net/jiancha/ebbdktebvab/
text : 胸部磁共振	link : http://jbk.39.net/jiancha/xbmri/
text : 胸腔积液肿瘤细胞学检查	link : http://jbk.39.net/jiancha/xqjyzlxbxjc/
text : 胸部B超	link : http://jbk.39.net/jiancha/xb/
text : 胸腔积液检查	link : http://jbk.39.net/jiancha/xqjyjc/
text : 胸廓检查	link : http://jbk.39.net/jiancha/xkjc/
text : 更多检查>>	link : /bw/xiongbu_t3/
text : 手术	link : /bw/xiongbu_t4/
text : 电视胸腔镜手术	link : http://jbk.39.net/shoushu/dsxqjss/
text : 胸膜腔穿刺术	link : http://jbk.39.net/shoushu/xmqccs/
text : 胸腺切除术	link : http://jbk.39.net/shoushu/xxqcs/
text : 漏斗胸矫形术	link : http://jbk.39.net/shoushu/ldxjxs/
text : 胸膜固定(黏合)术	link : http://jbk.39.net/shoushu/xmgdnhs/
text : 主动脉缩窄补片成形术	link : http://jbk.39.net/shoushu/zdmszbpcxs/
text : 胸膜粘连术	link : http://jbk.39.net/shoushu/xmzls/
text : 膈下脓肿切开引流术	link : http://jbk.39.net/shoushu/gxnzqkyls/
text : 胸导管结扎术	link : http://jbk.39.net/shoushu/xdgjzs/
text : 胸壁结核病灶清除术	link : http://jbk.39.net/shoushu/xbjhbzqcs/
text : 更多手术>>	link : /bw/xiongbu_t4/
text : 胃	link : /bw/wei/
text : 慢性胃炎	link : http://jbk.39.net/mxwy/
text : 胃癌	link : http://jbk.39.net/wa/
text : 胃溃疡	link : http://jbk.39.net/wky/
text : 反流性食管炎	link : http://jbk.39.net/flxsgy/
text : 幽门螺杆菌感染	link : http://jbk.39.net/ymlgjgr/
text : 婴幼儿腹泻	link : http://jbk.39.net/yyefx/
text : 打嗝	link : http://jbk.39.net/zhengzhuang/dg/
text : 更多疾病>>	link : /bw/wei/
text : 肠	link : /bw/chang/
text : 便秘	link : http://jbk.39.net/bm/
text : 直肠癌	link : http://jbk.39.net/zca/
text : 拉肚子	link : http://jbk.39.net/fx/
text : 结肠癌	link : http://jbk.39.net/jca/
text : 肠梗阻	link : http://jbk.39.net/cgz/
text : 十二指肠溃疡	link : http://jbk.39.net/sezcky/
text : 成人大便绿色	link : http://jbk.39.net/zhengzhuang/crdbmls/
text : 宝宝拉绿屎	link : http://jbk.39.net/zhengzhuang/bblls/
text : 产后大便出血	link : http://jbk.39.net/zhengzhuang/chdbcx/
text : 更多疾病>>	link : /bw/chang/
text : 肝	link : /bw/gan/
text : 乙肝	link : http://jbk.39.net/yg/
text : 脂肪肝	link : http://jbk.39.net/zfg/
text : 肝硬化	link : http://jbk.39.net/gyh/
text : 原发性肝癌	link : http://jbk.39.net/yfxga/
text : 肝囊肿	link : http://jbk.39.net/gnz/
text : 肝癌	link : http://jbk.39.net/ga/
text : 肝昏迷	link : http://jbk.39.net/zhengzhuang/ghm/
text : 乙肝小三阳	link : http://jbk.39.net/zhengzhuang/ygxsy/
text : 肝区隐痛	link : http://jbk.39.net/zhengzhuang/gqyt/
text : 乙肝大三阳	link : http://jbk.39.net/zhengzhuang/ygdsy/
text : 更多疾病>>	link : /bw/gan/
text : 阑尾	link : /bw/lanwei/
text : 急性阑尾炎	link : http://jbk.39.net/jxlwy/
text : 阑尾炎	link : http://jbk.39.net/lwy/
text : 慢性阑尾炎	link : http://jbk.39.net/mxlwy/
text : 小儿急性阑尾炎	link : http://jbk.39.net/xejxlwy/
text : 寄生虫	link : http://jbk.39.net/lwjscb/
